state,year,crime_count,population,literacy_rate,urban_population_pct,latitude,longitude
Arunachal Pradesh,2013,3641,1299715,60.06,23.68,28.218,94.7278
Arunachal Pradesh,2014,3697,1317911,60.54,23.92,28.218,94.7278
Arunachal Pradesh,2015,3679,1336362,61.02,24.16,28.218,94.7278
Arunachal Pradesh,2016,3676,1355071,61.5,24.4,28.218,94.7278
Arunachal Pradesh,2017,3869,1374042,61.98,24.64,28.218,94.7278
Arunachal Pradesh,2018,4084,1393278,62.46,24.88,28.218,94.7278
Arunachal Pradesh,2019,4273,1412784,62.94,25.12,28.218,94.7278
Arunachal Pradesh,2020,4274,1432563,63.42,25.36,28.218,94.7278
Arunachal Pradesh,2021,4388,1452619,63.9,25.6,28.218,94.7278
Arunachal Pradesh,2022,4465,1472956,64.38,25.84,28.218,94.7278
Arunachal Pradesh,2023,4536,1493577,64.86,26.08,28.218,94.7278
Assam,2001,73946,26660000,63.3,12.9,26.2006,92.9376
Assam,2002,76272,27086560,63.81,13.2,26.2006,92.9376
Assam,2003,79508,27519945,64.32,13.5,26.2006,92.9376
Assam,2004,80779,27960264,64.83,13.8,26.2006,92.9376
Assam,2005,82278,28407628,65.34,14.1,26.2006,92.9376
Assam,2006,84415,28862150,65.85,14.4,26.2006,92.9376
Assam,2007,80345,29323945,66.36,14.7,26.2006,92.9376
Assam,2008,79499,29793128,66.87,15.0,26.2006,92.9376
Assam,2009,78319,30269818,67.38,15.3,26.2006,92.9376
Assam,2010,76921,30754135,67.89,15.6,26.2006,92.9376
Assam,2011,76837,31246201,68.4,15.9,26.2006,92.9376
Assam,2012,81852,31746140,68.91,16.2,26.2006,92.9376
Assam,2013,80980,32254079,69.42,16.5,26.2006,92.9376
Assam,2014,85684,32770144,69.93,16.8,26.2006,92.9376
Assam,2015,83039,33294466,70.44,17.1,26.2006,92.9376
Assam,2016,84535,33827178,70.95,17.4,26.2006,92.9376
Assam,2017,87507,34368412,71.46,17.7,26.2006,92.9376
Assam,2018,91685,34918307,71.97,18.0,26.2006,92.9376
Assam,2019,96109,35477000,72.48,18.3,26.2006,92.9376
Assam,2020,100550,36044632,72.99,18.6,26.2006,92.9376
Assam,2021,100694,36621346,73.5,18.9,26.2006,92.9376
Assam,2022,99948,37207288,74.01,19.2,26.2006,92.9376
Assam,2023,103305,37802604,74.52,19.5,26.2006,92.9376
Bihar,2001,112572,82999000,47.0,10.5,25.0961,85.3131
Bihar,2002,109783,84492982,47.54,10.86,25.0961,85.3131
Bihar,2003,107060,86013856,48.08,11.22,25.0961,85.3131
Bihar,2004,104675,87562105,48.62,11.58,25.0961,85.3131
Bihar,2005,106910,89138223,49.16,11.94,25.0961,85.3131
Bihar,2006,107613,90742711,49.7,12.3,25.0961,85.3131
Bihar,2007,110173,92376080,50.24,12.66,25.0961,85.3131
Bihar,2008,108761,94038849,50.78,13.02,25.0961,85.3131
Bihar,2009,109799,95731549,51.32,13.38,25.0961,85.3131
Bihar,2010,113051,97454716,51.86,13.74,25.0961,85.3131
Bihar,2011,113431,99208901,52.4,14.1,25.0961,85.3131
Bihar,2012,117394,100994661,52.94,14.46,25.0961,85.3131
Bihar,2013,117582,102812565,53.48,14.82,25.0961,85.3131
Bihar,2014,119389,104663192,54.02,15.18,25.0961,85.3131
Bihar,2015,121351,106547129,54.56,15.54,25.0961,85.3131
Bihar,2016,119911,108464977,55.1,15.9,25.0961,85.3131
Bihar,2017,125166,110417347,55.64,16.26,25.0961,85.3131
Bihar,2018,126088,112404859,56.18,16.62,25.0961,85.3131
Bihar,2019,128500,114428147,56.72,16.98,25.0961,85.3131
Bihar,2020,132337,116487853,57.26,17.34,25.0961,85.3131
Bihar,2021,135473,118584635,57.8,17.7,25.0961,85.3131
Bihar,2022,139114,120719158,58.34,18.06,25.0961,85.3131
Bihar,2023,138898,122892103,58.88,18.42,25.0961,85.3131
Chhattisgarh,2001,54811,20830000,64.7,20.1,21.2787,81.8661
Chhattisgarh,2002,55411,21246600,65.27,20.28,21.2787,81.8661
Chhattisgarh,2003,52685,21671532,65.84,20.46,21.2787,81.8661
Chhattisgarh,2004,50318,22104963,66.41,20.64,21.2787,81.8661
Chhattisgarh,2005,48136,22547062,66.98,20.82,21.2787,81.8661
Chhattisgarh,2006,46530,22998003,67.55,21.0,21.2787,81.8661
Chhattisgarh,2007,47223,23457963,68.12,21.18,21.2787,81.8661
Chhattisgarh,2008,45961,23927122,68.69,21.36,21.2787,81.8661
Chhattisgarh,2009,45756,24405665,69.26,21.54,21.2787,81.8661
Chhattisgarh,2010,48428,24893778,69.83,21.72,21.2787,81.8661
Chhattisgarh,2011,48774,25391654,70.4,21.9,21.2787,81.8661
Chhattisgarh,2012,51211,25899487,70.97,22.08,21.2787,81.8661
Chhattisgarh,2013,50981,26417477,71.54,22.26,21.2787,81.8661
Chhattisgarh,2014,52132,26945826,72.11,22.44,21.2787,81.8661
Chhattisgarh,2015,51942,27484743,72.68,22.62,21.2787,81.8661
Chhattisgarh,2016,52747,28034437,73.25,22.8,21.2787,81.8661
Chhattisgarh,2017,55523,28595126,73.82,22.98,21.2787,81.8661
Chhattisgarh,2018,53256,29167029,74.39,23.16,21.2787,81.8661
Chhattisgarh,2019,54771,29750369,74.96,23.34,21.2787,81.8661
Chhattisgarh,2020,55685,30345377,75.53,23.52,21.2787,81.8661
Chhattisgarh,2021,54808,30952284,76.1,23.7,21.2787,81.8661
Chhattisgarh,2022,52214,31571330,76.67,23.88,21.2787,81.8661
Chhattisgarh,2023,52371,32202757,77.24,24.06,21.2787,81.8661
Delhi,2001,81196,13850000,81.7,93.0,28.7041,77.1025
Delhi,2002,82548,14154700,82.15,93.24,28.7041,77.1025
Delhi,2003,82969,14466103,82.6,93.48,28.7041,77.1025
Delhi,2004,87650,14784358,83.05,93.72,28.7041,77.1025
Delhi,2005,86955,15109614,83.5,93.96,28.7041,77.1025
Delhi,2006,83999,15442025,83.95,94.2,28.7041,77.1025
Delhi,2007,84846,15781750,84.4,94.44,28.7041,77.1025
Delhi,2008,86197,16128948,84.85,94.68,28.7041,77.1025
Delhi,2009,91452,16483785,85.3,94.92,28.7041,77.1025
Delhi,2010,95897,16846428,85.75,95.16,28.7041,77.1025
Delhi,2011,99445,17217050,86.2,95.4,28.7041,77.1025
Delhi,2012,107369,17595825,86.65,95.64,28.7041,77.1025
Delhi,2013,106071,17982933,87.1,95.88,28.7041,77.1025
Delhi,2014,106817,18378557,87.55,96.12,28.7041,77.1025
Delhi,2015,106256,18782886,88.0,96.36,28.7041,77.1025
Delhi,2016,107309,19196109,88.45,96.6,28.7041,77.1025
Delhi,2017,104164,19618424,88.9,96.84,28.7041,77.1025
Delhi,2018,107866,20050029,89.35,97.08,28.7041,77.1025
Delhi,2019,107949,20491129,89.8,97.32,28.7041,77.1025
Delhi,2020,102945,20941934,90.25,97.56,28.7041,77.1025
Delhi,2021,99504,21402657,90.7,97.8,28.7041,77.1025
Delhi,2022,100603,21873515,91.15,98.0,28.7041,77.1025
Delhi,2023,103614,22354733,91.6,98.0,28.7041,77.1025
Goa,2001,4749,1350000,82.0,49.8,15.2993,74.124
Goa,2002,5244,1366200,82.48,50.1,15.2993,74.124
Goa,2003,5325,1382594,82.96,50.4,15.2993,74.124
Goa,2004,5147,1399186,83.44,50.7,15.2993,74.124
Goa,2005,4777,1415976,83.92,51.0,15.2993,74.124
Goa,2006,4840,1432967,84.4,51.3,15.2993,74.124
Goa,2007,4744,1450163,84.88,51.6,15.2993,74.124
Goa,2008,4741,1467565,85.36,51.9,15.2993,74.124
Goa,2009,4732,1485176,85.84,52.2,15.2993,74.124
Goa,2010,4824,1502998,86.32,52.5,15.2993,74.124
Goa,2011,5139,1521034,86.8,52.8,15.2993,74.124
Goa,2012,5320,1539286,87.28,53.1,15.2993,74.124
Goa,2013,5447,1557758,87.76,53.4,15.2993,74.124
Goa,2014,5398,1576451,88.24,53.7,15.2993,74.124
Goa,2015,5209,1595368,88.72,54.0,15.2993,74.124
Goa,2016,5218,1614513,89.2,54.3,15.2993,74.124
Goa,2017,5278,1633887,89.68,54.6,15.2993,74.124
Goa,2018,5644,1653493,90.16,54.9,15.2993,74.124
Goa,2019,5693,1673335,90.64,55.2,15.2993,74.124
Goa,2020,5891,1693415,91.12,55.5,15.2993,74.124
Goa,2021,5793,1713736,91.6,55.8,15.2993,74.124
Goa,2022,5565,1734301,92.08,56.1,15.2993,74.124
Goa,2023,5403,1755113,92.56,56.4,15.2993,74.124
Gujarat,2001,120986,50670000,69.1,37.4,22.2587,71.1924
Gujarat,2002,129928,51379380,69.61,37.76,22.2587,71.1924
Gujarat,2003,126344,52098691,70.12,38.12,22.2587,71.1924
Gujarat,2004,130096,52828073,70.63,38.48,22.2587,71.1924
Gujarat,2005,126601,53567666,71.14,38.84,22.2587,71.1924
Gujarat,2006,131694,54317613,71.65,39.2,22.2587,71.1924
Gujarat,2007,135247,55078060,72.16,39.56,22.2587,71.1924
Gujarat,2008,137129,55849153,72.67,39.92,22.2587,71.1924
Gujarat,2009,140271,56631041,73.18,40.28,22.2587,71.1924
Gujarat,2010,140981,57423875,73.69,40.64,22.2587,71.1924
Gujarat,2011,147372,58227810,74.2,41.0,22.2587,71.1924
Gujarat,2012,149362,59042999,74.71,41.36,22.2587,71.1924
Gujarat,2013,147033,59869601,75.22,41.72,22.2587,71.1924
Gujarat,2014,143944,60707775,75.73,42.08,22.2587,71.1924
Gujarat,2015,147490,61557684,76.24,42.44,22.2587,71.1924
Gujarat,2016,157493,62419492,76.75,42.8,22.2587,71.1924
Gujarat,2017,159686,63293365,77.26,43.16,22.2587,71.1924
Gujarat,2018,159718,64179472,77.77,43.52,22.2587,71.1924
Gujarat,2019,161498,65077985,78.28,43.88,22.2587,71.1924
Gujarat,2020,168726,65989076,78.79,44.24,22.2587,71.1924
Gujarat,2021,170194,66912923,79.3,44.6,22.2587,71.1924
Gujarat,2022,168498,67849704,79.81,44.96,22.2587,71.1924
Gujarat,2023,176320,68799600,80.32,45.32,22.2587,71.1924
Haryana,2001,75427,21140000,67.9,28.9,29.0588,76.0856
Haryana,2002,79407,21478240,68.44,29.08,29.0588,76.0856
Haryana,2003,79994,21821892,68.98,29.26,29.0588,76.0856
Haryana,2004,76949,22171042,69.52,29.44,29.0588,76.0856
Haryana,2005,73966,22525779,70.06,29.62,29.0588,76.0856
Haryana,2006,79205,22886191,70.6,29.8,29.0588,76.0856
Haryana,2007,85490,23252370,71.14,29.98,29.0588,76.0856
Haryana,2008,87039,23624408,71.68,30.16,29.0588,76.0856
Haryana,2009,88309,24002399,72.22,30.34,29.0588,76.0856
Haryana,2010,95481,24386437,72.76,30.52,29.0588,76.0856
Haryana,2011,94581,24776620,73.3,30.7,29.0588,76.0856
Haryana,2012,94193,25173046,73.84,30.88,29.0588,76.0856
Haryana,2013,98528,25575815,74.38,31.06,29.0588,76.0856
Haryana,2014,99017,25985028,74.92,31.24,29.0588,76.0856
Haryana,2015,100332,26400788,75.46,31.42,29.0588,76.0856
Haryana,2016,100613,26823201,76.0,31.6,29.0588,76.0856
Haryana,2017,102203,27252372,76.54,31.78,29.0588,76.0856
Haryana,2018,107264,27688410,77.08,31.96,29.0588,76.0856
Haryana,2019,107627,28131425,77.62,32.14,29.0588,76.0856
Haryana,2020,110127,28581527,78.16,32.32,29.0588,76.0856
Haryana,2021,102826,29038832,78.7,32.5,29.0588,76.0856
Haryana,2022,103527,29503453,79.24,32.68,29.0588,76.0856
Haryana,2023,101948,29975508,79.78,32.86,29.0588,76.0856
Himachal Pradesh,2001,14687,6078000,76.5,9.8,31.1048,77.1734
Himachal Pradesh,2002,14266,6187404,77.07,10.04,31.1048,77.1734
Himachal Pradesh,2003,14161,6298777,77.64,10.28,31.1048,77.1734
Himachal Pradesh,2004,14724,6412155,78.21,10.52,31.1048,77.1734
Himachal Pradesh,2005,14254,6527574,78.78,10.76,31.1048,77.1734
Himachal Pradesh,2006,14546,6645070,79.35,11.0,31.1048,77.1734
Himachal Pradesh,2007,14656,6764682,79.92,11.24,31.1048,77.1734
Himachal Pradesh,2008,14898,6886446,80.49,11.48,31.1048,77.1734
Himachal Pradesh,2009,15863,7010402,81.06,11.72,31.1048,77.1734
Himachal Pradesh,2010,16629,7136589,81.63,11.96,31.1048,77.1734
Himachal Pradesh,2011,17859,7265048,82.2,12.2,31.1048,77.1734
Himachal Pradesh,2012,18183,7395819,82.77,12.44,31.1048,77.1734
Himachal Pradesh,2013,18085,7528943,83.34,12.68,31.1048,77.1734
Himachal Pradesh,2014,18190,7664464,83.91,12.92,31.1048,77.1734
Himachal Pradesh,2015,18495,7802425,84.48,13.16,31.1048,77.1734
Himachal Pradesh,2016,18687,7942868,85.05,13.4,31.1048,77.1734
Himachal Pradesh,2017,18025,8085840,85.62,13.64,31.1048,77.1734
Himachal Pradesh,2018,18088,8231385,86.19,13.88,31.1048,77.1734
Himachal Pradesh,2019,18253,8379550,86.76,14.12,31.1048,77.1734
Himachal Pradesh,2020,19894,8530382,87.33,14.36,31.1048,77.1734
Himachal Pradesh,2021,21343,8683929,87.9,14.6,31.1048,77.1734
Himachal Pradesh,2022,21014,8840240,88.47,14.84,31.1048,77.1734
Himachal Pradesh,2023,21216,8999364,89.04,15.08,31.1048,77.1734
Jharkhand,2001,39615,26940000,53.6,22.2,23.6102,85.2799
Jharkhand,2002,38990,27478800,54.05,22.5,23.6102,85.2799
Jharkhand,2003,39740,28028376,54.5,22.8,23.6102,85.2799
Jharkhand,2004,41925,28588944,54.95,23.1,23.6102,85.2799
Jharkhand,2005,41691,29160722,55.4,23.4,23.6102,85.2799
Jharkhand,2006,41767,29743937,55.85,23.7,23.6102,85.2799
Jharkhand,2007,39834,30338816,56.3,24.0,23.6102,85.2799
Jharkhand,2008,40792,30945592,56.75,24.3,23.6102,85.2799
Jharkhand,2009,40493,31564504,57.2,24.6,23.6102,85.2799
Jharkhand,2010,40856,32195794,57.65,24.9,23.6102,85.2799
Jharkhand,2011,40587,32839710,58.1,25.2,23.6102,85.2799
Jharkhand,2012,41218,33496504,58.55,25.5,23.6102,85.2799
Jharkhand,2013,39319,34166434,59.0,25.8,23.6102,85.2799
Jharkhand,2014,37717,34849763,59.45,26.1,23.6102,85.2799
Jharkhand,2015,40582,35546758,59.9,26.4,23.6102,85.2799
Jharkhand,2016,38908,36257693,60.35,26.7,23.6102,85.2799
Jharkhand,2017,37515,36982847,60.8,27.0,23.6102,85.2799
Jharkhand,2018,39876,37722504,61.25,27.3,23.6102,85.2799
Jharkhand,2019,43931,38476954,61.7,27.6,23.6102,85.2799
Jharkhand,2020,42582,39246493,62.15,27.9,23.6102,85.2799
Jharkhand,2021,42652,40031423,62.6,28.2,23.6102,85.2799
Jharkhand,2022,43984,40832051,63.05,28.5,23.6102,85.2799
Jharkhand,2023,47661,41648692,63.5,28.8,23.6102,85.2799
Karnataka,2001,119521,52850000,66.6,34.0,15.3173,75.7139
Karnataka,2002,119528,54012700,67.08,34.36,15.3173,75.7139
Karnataka,2003,124379,55200979,67.56,34.72,15.3173,75.7139
Karnataka,2004,128671,56415401,68.04,35.08,15.3173,75.7139
Karnataka,2005,130132,57656540,68.52,35.44,15.3173,75.7139
Karnataka,2006,133176,58924984,69.0,35.8,15.3173,75.7139
Karnataka,2007,130744,60221333,69.48,36.16,15.3173,75.7139
Karnataka,2008,133517,61546203,69.96,36.52,15.3173,75.7139
Karnataka,2009,135926,62900219,70.44,36.88,15.3173,75.7139
Karnataka,2010,140225,64284024,70.92,37.24,15.3173,75.7139
Karnataka,2011,140167,65698272,71.4,37.6,15.3173,75.7139
Karnataka,2012,144342,67143634,71.88,37.96,15.3173,75.7139
Karnataka,2013,150580,68620794,72.36,38.32,15.3173,75.7139
Karnataka,2014,152040,70130452,72.84,38.68,15.3173,75.7139
Karnataka,2015,154096,71673322,73.32,39.04,15.3173,75.7139
Karnataka,2016,154452,73250135,73.8,39.4,15.3173,75.7139
Karnataka,2017,154670,74861638,74.28,39.76,15.3173,75.7139
Karnataka,2018,151526,76508594,74.76,40.12,15.3173,75.7139
Karnataka,2019,154476,78191783,75.24,40.48,15.3173,75.7139
Karnataka,2020,156132,79912002,75.72,40.84,15.3173,75.7139
Karnataka,2021,170485,81670066,76.2,41.2,15.3173,75.7139
Karnataka,2022,183997,83466808,76.68,41.56,15.3173,75.7139
Karnataka,2023,191654,85303077,77.16,41.92,15.3173,75.7139
Kerala,2001,79028,31840000,90.9,26.0,10.8505,76.2711
Kerala,2002,77081,32222080,91.41,26.18,10.8505,76.2711
Kerala,2003,81749,32608745,91.92,26.36,10.8505,76.2711
Kerala,2004,84485,33000050,92.43,26.54,10.8505,76.2711
Kerala,2005,88263,33396050,92.94,26.72,10.8505,76.2711
Kerala,2006,85488,33796803,93.45,26.9,10.8505,76.2711
Kerala,2007,90778,34202365,93.96,27.08,10.8505,76.2711
Kerala,2008,94690,34612793,94.47,27.26,10.8505,76.2711
Kerala,2009,93247,35028147,94.98,27.44,10.8505,76.2711
Kerala,2010,93461,35448484,95.49,27.62,10.8505,76.2711
Kerala,2011,95565,35873866,96.0,27.8,10.8505,76.2711
Kerala,2012,96540,36304353,96.0,27.98,10.8505,76.2711
Kerala,2013,95983,36740005,96.0,28.16,10.8505,76.2711
Kerala,2014,95778,37180885,96.0,28.34,10.8505,76.2711
Kerala,2015,94987,37627056,96.0,28.52,10.8505,76.2711
Kerala,2016,95595,38078580,96.0,28.7,10.8505,76.2711
Kerala,2017,100783,38535523,96.0,28.88,10.8505,76.2711
Kerala,2018,92761,38997949,96.0,29.06,10.8505,76.2711
Kerala,2019,93293,39465925,96.0,29.24,10.8505,76.2711
Kerala,2020,95682,39939516,96.0,29.42,10.8505,76.2711
Kerala,2021,99008,40418790,96.0,29.6,10.8505,76.2711
Kerala,2022,100495,40903816,96.0,29.78,10.8505,76.2711
Kerala,2023,97300,41394661,96.0,29.96,10.8505,76.2711
Madhya Pradesh,2001,164743,60380000,63.7,26.5,22.9734,78.6569
Madhya Pradesh,2002,177806,61225320,64.24,26.74,22.9734,78.6569
Madhya Pradesh,2003,172617,62082474,64.78,26.98,22.9734,78.6569
Madhya Pradesh,2004,182667,62951629,65.32,27.22,22.9734,78.6569
Madhya Pradesh,2005,185995,63832952,65.86,27.46,22.9734,78.6569
Madhya Pradesh,2006,191075,64726613,66.4,27.7,22.9734,78.6569
Madhya Pradesh,2007,189239,65632786,66.94,27.94,22.9734,78.6569
Madhya Pradesh,2008,191475,66551645,67.48,28.18,22.9734,78.6569
Madhya Pradesh,2009,203688,67483368,68.02,28.42,22.9734,78.6569
Madhya Pradesh,2010,210526,68428135,68.56,28.66,22.9734,78.6569
Madhya Pradesh,2011,224836,69386129,69.1,28.9,22.9734,78.6569
Madhya Pradesh,2012,234851,70357535,69.64,29.14,22.9734,78.6569
Madhya Pradesh,2013,238697,71342540,70.18,29.38,22.9734,78.6569
Madhya Pradesh,2014,252973,72341336,70.72,29.62,22.9734,78.6569
Madhya Pradesh,2015,257069,73354114,71.26,29.86,22.9734,78.6569
Madhya Pradesh,2016,265399,74381072,71.8,30.1,22.9734,78.6569
Madhya Pradesh,2017,264937,75422407,72.34,30.34,22.9734,78.6569
Madhya Pradesh,2018,269235,76478321,72.88,30.58,22.9734,78.6569
Madhya Pradesh,2019,267964,77549017,73.42,30.82,22.9734,78.6569
Madhya Pradesh,2020,283812,78634704,73.96,31.06,22.9734,78.6569
Madhya Pradesh,2021,280048,79735589,74.5,31.3,22.9734,78.6569
Madhya Pradesh,2022,296099,80851888,75.04,31.54,22.9734,78.6569
Madhya Pradesh,2023,302836,81983814,75.58,31.78,22.9734,78.6569
Maharashtra,2001,201976,96880000,76.9,42.4,19.7515,75.7139
Maharashtra,2002,212160,98430080,77.47,42.7,19.7515,75.7139
Maharashtra,2003,231564,100004961,78.04,43.0,19.7515,75.7139
Maharashtra,2004,244367,101605041,78.61,43.3,19.7515,75.7139
Maharashtra,2005,238123,103230721,79.18,43.6,19.7515,75.7139
Maharashtra,2006,244053,104882413,79.75,43.9,19.7515,75.7139
Maharashtra,2007,239839,106560531,80.32,44.2,19.7515,75.7139
Maharashtra,2008,240022,108265500,80.89,44.5,19.7515,75.7139
Maharashtra,2009,255733,109997748,81.46,44.8,19.7515,75.7139
Maharashtra,2010,263483,111757712,82.03,45.1,19.7515,75.7139
Maharashtra,2011,258332,113545835,82.6,45.4,19.7515,75.7139
Maharashtra,2012,249809,115362569,83.17,45.7,19.7515,75.7139
Maharashtra,2013,250188,117208370,83.74,46.0,19.7515,75.7139
Maharashtra,2014,240180,119083704,84.31,46.3,19.7515,75.7139
Maharashtra,2015,235689,120989043,84.88,46.6,19.7515,75.7139
Maharashtra,2016,240217,122924868,85.45,46.9,19.7515,75.7139
Maharashtra,2017,253098,124891666,86.02,47.2,19.7515,75.7139
Maharashtra,2018,263370,126889932,86.59,47.5,19.7515,75.7139
Maharashtra,2019,248858,128920171,87.16,47.8,19.7515,75.7139
Maharashtra,2020,258471,130982894,87.73,48.1,19.7515,75.7139
Maharashtra,2021,266801,133078620,88.3,48.4,19.7515,75.7139
Maharashtra,2022,278488,135207878,88.87,48.7,19.7515,75.7139
Maharashtra,2023,301711,137371204,89.44,49.0,19.7515,75.7139
Manipur,2001,4852,2294000,70.5,23.9,24.6637,93.9063
Manipur,2002,4888,2335292,70.95,24.26,24.6637,93.9063
Manipur,2003,5134,2377327,71.4,24.62,24.6637,93.9063
Manipur,2004,5002,2420119,71.85,24.98,24.6637,93.9063
Manipur,2005,5395,2463681,72.3,25.34,24.6637,93.9063
Manipur,2006,5591,2508028,72.75,25.7,24.6637,93.9063
Manipur,2007,5860,2553172,73.2,26.06,24.6637,93.9063
Manipur,2008,5824,2599129,73.65,26.42,24.6637,93.9063
Manipur,2009,6035,2645913,74.1,26.78,24.6637,93.9063
Manipur,2010,6281,2693540,74.55,27.14,24.6637,93.9063
Manipur,2011,6340,2742024,75.0,27.5,24.6637,93.9063
Manipur,2012,6394,2791380,75.45,27.86,24.6637,93.9063
Manipur,2013,6461,2841625,75.9,28.22,24.6637,93.9063
Manipur,2014,6297,2892774,76.35,28.58,24.6637,93.9063
Manipur,2015,6320,2944844,76.8,28.94,24.6637,93.9063
Manipur,2016,6375,2997851,77.25,29.3,24.6637,93.9063
Manipur,2017,6584,3051813,77.7,29.66,24.6637,93.9063
Manipur,2018,6975,3106745,78.15,30.02,24.6637,93.9063
Manipur,2019,6913,3162667,78.6,30.38,24.6637,93.9063
Manipur,2020,7088,3219595,79.05,30.74,24.6637,93.9063
Manipur,2021,7664,3277547,79.5,31.1,24.6637,93.9063
Manipur,2022,7673,3336543,79.95,31.46,24.6637,93.9063
Manipur,2023,7633,3396601,80.4,31.82,24.6637,93.9063
Meghalaya,2001,4717,2319000,62.6,19.6,25.467,91.3662
Meghalaya,2002,4996,2365380,63.08,19.78,25.467,91.3662
Meghalaya,2003,5146,2412688,63.56,19.96,25.467,91.3662
Meghalaya,2004,5524,2460941,64.04,20.14,25.467,91.3662
Meghalaya,2005,5819,2510160,64.52,20.32,25.467,91.3662
Meghalaya,2006,6098,2560363,65.0,20.5,25.467,91.3662
Meghalaya,2007,6296,2611571,65.48,20.68,25.467,91.3662
Meghalaya,2008,6852,2663802,65.96,20.86,25.467,91.3662
Meghalaya,2009,6834,2717078,66.44,21.04,25.467,91.3662
Meghalaya,2010,6378,2771420,66.92,21.22,25.467,91.3662
Meghalaya,2011,6728,2826848,67.4,21.4,25.467,91.3662
Meghalaya,2012,6633,2883385,67.88,21.58,25.467,91.3662
Meghalaya,2013,6685,2941053,68.36,21.76,25.467,91.3662
Meghalaya,2014,7042,2999874,68.84,21.94,25.467,91.3662
Meghalaya,2015,6752,3059871,69.32,22.12,25.467,91.3662
Meghalaya,2016,6592,3121069,69.8,22.3,25.467,91.3662
Meghalaya,2017,6387,3183490,70.28,22.48,25.467,91.3662
Meghalaya,2018,6390,3247160,70.76,22.66,25.467,91.3662
Meghalaya,2019,6678,3312103,71.24,22.84,25.467,91.3662
Meghalaya,2020,6997,3378345,71.72,23.02,25.467,91.3662
Meghalaya,2021,7255,3445912,72.2,23.2,25.467,91.3662
Meghalaya,2022,7068,3514830,72.68,23.38,25.467,91.3662
Meghalaya,2023,6636,3585127,73.16,23.56,25.467,91.3662
Mizoram,2001,2676,889000,88.8,49.6,23.1645,92.9376
Mizoram,2002,2711,908558,89.31,49.84,23.1645,92.9376
Mizoram,2003,2829,928546,89.82,50.08,23.1645,92.9376
Mizoram,2004,2965,948974,90.33,50.32,23.1645,92.9376
Mizoram,2005,3035,969852,90.84,50.56,23.1645,92.9376
Mizoram,2006,3156,991188,91.35,50.8,23.1645,92.9376
Mizoram,2007,3207,1012995,91.86,51.04,23.1645,92.9376
Mizoram,2008,3279,1035280,92.37,51.28,23.1645,92.9376
Mizoram,2009,3205,1058057,92.88,51.52,23.1645,92.9376
Mizoram,2010,3187,1081334,93.39,51.76,23.1645,92.9376
Mizoram,2011,3213,1105123,93.9,52.0,23.1645,92.9376
Mizoram,2012,3316,1129436,94.41,52.24,23.1645,92.9376
